epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,1675.02,0.83545,0.43209,0.94554,0.96454,0.93481,0.97974,0.64174,1.25747,0.50728,1.06734,0.001354,0.001354,0.001354
133,1687.39,0.83392,0.43114,0.94629,0.97249,0.9379,0.9819,0.66264,1.2045,0.48838,1.04664,0.001288,0.001288,0.001288
134,1699.85,0.80626,0.41924,0.95032,0.96732,0.9324,0.97784,0.67337,1.16431,0.49161,1.04411,0.001222,0.001222,0.001222
135,1712.1,0.81466,0.42118,0.93818,0.97541,0.93493,0.97945,0.66338,1.20172,0.49644,1.04979,0.001156,0.001156,0.001156
136,1724.46,0.80704,0.41959,0.94568,0.97939,0.93533,0.98115,0.66141,1.21305,0.49049,1.05116,0.00109,0.00109,0.00109
137,1736.99,0.79887,0.41533,0.94072,0.96045,0.9516,0.98245,0.65023,1.24387,0.49437,1.06481,0.001024,0.001024,0.001024
138,1749.21,0.78694,0.40586,0.93758,0.98516,0.93095,0.98152,0.6895,1.12884,0.46895,1.02549,0.000958,0.000958,0.000958
139,1761.61,0.80334,0.41486,0.94533,0.97724,0.93055,0.98073,0.63172,1.32274,0.51062,1.08362,0.000892,0.000892,0.000892
140,1773.99,0.77323,0.40138,0.93068,0.96304,0.94656,0.98094,0.67438,1.18053,0.48002,1.0434,0.000826,0.000826,0.000826
141,1786.32,0.78271,0.39797,0.94127,0.97961,0.93827,0.98287,0.70802,1.05845,0.45301,1.01003,0.00076,0.00076,0.00076
142,1798.63,0.7701,0.40125,0.93419,0.97545,0.94001,0.9828,0.67875,1.16141,0.47331,1.03798,0.000694,0.000694,0.000694
143,1811.03,0.77637,0.398,0.93965,0.97597,0.93392,0.98025,0.63551,1.31276,0.50385,1.08403,0.000628,0.000628,0.000628
144,1823.48,0.77549,0.39695,0.93988,0.97169,0.93848,0.98331,0.69053,1.11794,0.46071,1.02662,0.000562,0.000562,0.000562
145,1836.02,0.77682,0.399,0.9349,0.97979,0.93272,0.98135,0.6568,1.23949,0.48818,1.06026,0.000496,0.000496,0.000496
146,1848.47,0.77257,0.40395,0.9366,0.97514,0.93827,0.98085,0.66294,1.21995,0.48256,1.05269,0.00043,0.00043,0.00043
147,1859.87,0.7702,0.3957,0.93489,0.97736,0.93474,0.98153,0.6821,1.15823,0.46521,1.03762,0.000364,0.000364,0.000364
148,1872.32,0.77564,0.39459,0.93192,0.97369,0.93855,0.98208,0.68892,1.12841,0.46431,1.02661,0.000298,0.000298,0.000298
149,1884.81,0.76697,0.39217,0.92738,0.97694,0.93762,0.98215,0.69688,1.10949,0.45603,1.02143,0.000232,0.000232,0.000232
150,1897.09,0.76352,0.39334,0.9352,0.97772,0.93396,0.9819,0.69802,1.11333,0.45878,1.02028,0.000166,0.000166,0.000166
