epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,4625.64,1.4241,0.6614,1.04425,0.9799,0.99019,0.98821,0.61075,1.22112,0.51407,0.93237,0.0083764,0.0083764,0.0083764
84,4680.26,1.42028,0.65804,1.0413,0.98017,0.99069,0.9885,0.61181,1.2198,0.55595,0.9314,0.0083566,0.0083566,0.0083566
85,4735.2,1.43422,0.66958,1.04698,0.98113,0.99064,0.98817,0.61245,1.21864,0.52812,0.93082,0.0083368,0.0083368,0.0083368
86,4789.86,1.41979,0.66297,1.04272,0.98216,0.99009,0.98789,0.61369,1.21814,0.52027,0.92936,0.008317,0.008317,0.008317
87,4844.66,1.41269,0.66399,1.03905,0.9817,0.98824,0.98727,0.6142,1.21492,0.53223,0.92813,0.0082972,0.0082972,0.0082972
88,4899.69,1.41631,0.66071,1.039,0.97967,0.99202,0.98732,0.61494,1.21325,0.49634,0.92788,0.0082774,0.0082774,0.0082774
89,4954.25,1.40919,0.65865,1.03824,0.97748,0.99391,0.98814,0.61386,1.2108,0.50682,0.92682,0.0082576,0.0082576,0.0082576
90,5009.66,1.41005,0.65606,1.03463,0.98315,0.9892,0.98819,0.61499,1.21023,0.50458,0.9267,0.0082378,0.0082378,0.0082378
91,69.6751,1.38837,0.64733,1.03375,0.98249,0.98804,0.98868,0.61555,1.20774,0.50389,0.9257,0.008218,0.008218,0.008218
92,138.165,1.39894,0.65047,1.03532,0.98135,0.98963,0.98823,0.6173,1.20564,0.51252,0.92557,0.0081982,0.0081982,0.0081982
93,192.862,1.39541,0.65385,1.03661,0.98125,0.99042,0.9887,0.61961,1.20493,0.50522,0.92516,0.0081784,0.0081784,0.0081784
94,246.977,1.39368,0.65236,1.039,0.98021,0.99164,0.98891,0.62087,1.20553,0.51337,0.92513,0.0081586,0.0081586,0.0081586
95,301.174,1.39529,0.64775,1.04192,0.97898,0.99217,0.98869,0.62165,1.20421,0.53194,0.92483,0.0081388,0.0081388,0.0081388
96,356.924,1.39519,0.64254,1.03542,0.97724,0.99195,0.98821,0.62109,1.20352,0.5464,0.9243,0.008119,0.008119,0.008119
97,410.933,1.38795,0.64671,1.03372,0.98129,0.98864,0.98798,0.61983,1.20112,0.54587,0.92331,0.0080992,0.0080992,0.0080992
98,465.265,1.38434,0.64151,1.03554,0.98295,0.98986,0.98786,0.62141,1.19816,0.54518,0.92286,0.0080794,0.0080794,0.0080794
99,520.07,1.38843,0.64474,1.03198,0.9827,0.9898,0.98767,0.62238,1.1942,0.53068,0.92194,0.0080596,0.0080596,0.0080596
100,574.361,1.37445,0.63918,1.02941,0.98322,0.99015,0.9879,0.62495,1.19188,0.52543,0.9212,0.0080398,0.0080398,0.0080398
101,628.947,1.37582,0.64107,1.03236,0.98214,0.99023,0.98813,0.62628,1.18772,0.51869,0.92,0.00802,0.00802,0.00802
102,683.2,1.37621,0.63809,1.02919,0.98152,0.9906,0.98779,0.62671,1.18664,0.50569,0.91915,0.0080002,0.0080002,0.0080002
103,737.402,1.37741,0.63262,1.03133,0.98123,0.99083,0.98778,0.62816,1.18376,0.50584,0.91838,0.0079804,0.0079804,0.0079804
104,792.674,1.3718,0.64139,1.02873,0.98154,0.99115,0.98789,0.62924,1.18021,0.49468,0.91774,0.0079606,0.0079606,0.0079606
105,846.775,1.37821,0.64177,1.03179,0.98189,0.99141,0.98804,0.62727,1.17773,0.49295,0.91738,0.0079408,0.0079408,0.0079408
106,902.849,1.35423,0.63184,1.02214,0.98229,0.9902,0.98816,0.62869,1.17553,0.49065,0.91685,0.007921,0.007921,0.007921
107,958.316,1.36015,0.63293,1.025,0.98131,0.99118,0.98831,0.62931,1.17238,0.48794,0.91601,0.0079012,0.0079012,0.0079012
108,1013.63,1.35689,0.61882,1.02591,0.98219,0.99108,0.98864,0.63085,1.17173,0.48296,0.91573,0.0078814,0.0078814,0.0078814
109,1071.33,1.35168,0.63258,1.02693,0.9821,0.99081,0.98829,0.63096,1.17005,0.48566,0.91504,0.0078616,0.0078616,0.0078616
110,1126.74,1.35416,0.62997,1.02117,0.98199,0.99088,0.98837,0.63123,1.16977,0.48731,0.91499,0.0078418,0.0078418,0.0078418
111,1182.94,1.34627,0.63048,1.02117,0.98186,0.99104,0.9884,0.63136,1.16893,0.48714,0.91457,0.007822,0.007822,0.007822
112,1238.42,1.34065,0.62024,1.01955,0.9815,0.99143,0.98858,0.63165,1.16808,0.48886,0.91441,0.0078022,0.0078022,0.0078022
113,1294.4,1.33692,0.6187,1.0162,0.98172,0.99088,0.98868,0.63136,1.16798,0.48537,0.91395,0.0077824,0.0077824,0.0077824
114,1351.39,1.33522,0.62054,1.01793,0.98149,0.99118,0.98905,0.63265,1.16621,0.48456,0.91324,0.0077626,0.0077626,0.0077626
115,1409.86,1.33488,0.62398,1.01206,0.98123,0.99124,0.98899,0.63319,1.16371,0.48383,0.91269,0.0077428,0.0077428,0.0077428
116,1465.36,1.32551,0.61509,1.01886,0.98138,0.99129,0.989,0.63283,1.16246,0.48542,0.91241,0.007723,0.007723,0.007723
117,1522.21,1.32273,0.6142,1.01842,0.98143,0.99104,0.98898,0.6334,1.16078,0.4847,0.91204,0.0077032,0.0077032,0.0077032
118,1580,1.32176,0.60851,1.01325,0.98147,0.99093,0.98884,0.63447,1.15849,0.48651,0.91118,0.0076834,0.0076834,0.0076834
119,1635.89,1.31195,0.61134,1.01325,0.98126,0.99117,0.9889,0.63543,1.15751,0.48841,0.91098,0.0076636,0.0076636,0.0076636
120,1692.06,1.31188,0.60722,1.00543,0.98105,0.99134,0.98892,0.63546,1.15562,0.48771,0.91052,0.0076438,0.0076438,0.0076438
121,1749.59,1.31265,0.60502,1.00833,0.98093,0.99108,0.98903,0.63652,1.15407,0.48641,0.91019,0.007624,0.007624,0.007624
122,1808.03,1.31573,0.61337,1.00912,0.98104,0.99104,0.98907,0.63767,1.15276,0.48688,0.9098,0.0076042,0.0076042,0.0076042
123,1864.48,1.31181,0.6106,1.01133,0.98202,0.99092,0.98905,0.63811,1.15091,0.48556,0.90928,0.0075844,0.0075844,0.0075844
124,1920.55,1.30095,0.60252,1.00435,0.98219,0.99025,0.98904,0.63775,1.14952,0.48615,0.90901,0.0075646,0.0075646,0.0075646
125,1978.72,1.30628,0.60664,1.01069,0.98256,0.98981,0.98904,0.6389,1.14867,0.48439,0.90873,0.0075448,0.0075448,0.0075448
126,2038.05,1.30109,0.60756,1.01264,0.98271,0.98965,0.98913,0.63919,1.1473,0.48319,0.90842,0.007525,0.007525,0.007525
127,2094.68,1.29108,0.59616,1.00461,0.98274,0.98963,0.98913,0.64083,1.14546,0.48187,0.90825,0.0075052,0.0075052,0.0075052
128,2151.62,1.2857,0.59759,1.00186,0.9829,0.98959,0.98927,0.64171,1.14428,0.47944,0.90787,0.0074854,0.0074854,0.0074854
129,2207.77,1.28317,0.5925,1.00355,0.9829,0.98958,0.98935,0.64225,1.14284,0.47742,0.90757,0.0074656,0.0074656,0.0074656
130,2263.69,1.28822,0.5989,1.00309,0.98249,0.98982,0.98938,0.64301,1.14145,0.47668,0.9072,0.0074458,0.0074458,0.0074458
131,2322.24,1.27666,0.59628,1.00075,0.98261,0.98979,0.98932,0.64285,1.14018,0.47441,0.9068,0.007426,0.007426,0.007426
132,2380.85,1.27229,0.58917,1.00364,0.98262,0.98982,0.98948,0.64334,1.13908,0.47358,0.90653,0.0074062,0.0074062,0.0074062
133,2437.68,1.28676,0.59941,1.00444,0.98277,0.98975,0.98937,0.64376,1.13793,0.47257,0.9062,0.0073864,0.0073864,0.0073864
134,2493.68,1.27115,0.59368,0.99816,0.98293,0.98976,0.98943,0.64378,1.13664,0.47177,0.90592,0.0073666,0.0073666,0.0073666
135,2550.52,1.27655,0.59439,0.99756,0.98302,0.98975,0.98951,0.64405,1.13505,0.47205,0.9055,0.0073468,0.0073468,0.0073468
136,2608.88,1.26056,0.59224,0.99753,0.98315,0.98971,0.98956,0.64464,1.13405,0.47143,0.90533,0.007327,0.007327,0.007327
137,2667,1.27526,0.59382,1.00067,0.98329,0.9897,0.98959,0.64452,1.13266,0.46973,0.90497,0.0073072,0.0073072,0.0073072
138,2723.46,1.27197,0.59831,0.99931,0.98346,0.98968,0.9896,0.64638,1.13164,0.46892,0.90479,0.0072874,0.0072874,0.0072874
139,2780.5,1.27026,0.59403,0.99679,0.98347,0.9896,0.98962,0.64603,1.13089,0.46915,0.90446,0.0072676,0.0072676,0.0072676
140,2836.07,1.25223,0.5776,0.99306,0.98385,0.98997,0.98957,0.64659,1.12937,0.46815,0.90417,0.0072478,0.0072478,0.0072478
141,2892.59,1.26191,0.59071,0.99501,0.98367,0.98939,0.9896,0.64741,1.12861,0.46773,0.90404,0.007228,0.007228,0.007228
142,2951.96,1.26184,0.58313,0.99349,0.98355,0.98949,0.98964,0.64796,1.12798,0.46583,0.90375,0.0072082,0.0072082,0.0072082
143,3009.39,1.25963,0.5873,0.9971,0.98356,0.9895,0.98959,0.64858,1.12627,0.46375,0.90338,0.0071884,0.0071884,0.0071884
144,3064.51,1.2597,0.58879,0.99484,0.98353,0.9895,0.98957,0.64832,1.12612,0.46424,0.90329,0.0071686,0.0071686,0.0071686
145,3119.48,1.25489,0.58802,0.99147,0.98351,0.98948,0.98959,0.64807,1.12469,0.46347,0.903,0.0071488,0.0071488,0.0071488
146,3176.02,1.24014,0.57814,0.98866,0.98364,0.99005,0.98959,0.6489,1.12385,0.46287,0.9027,0.007129,0.007129,0.007129
147,3233.06,1.25269,0.58291,0.99772,0.98365,0.98995,0.98955,0.65075,1.12313,0.46251,0.90257,0.0071092,0.0071092,0.0071092
148,3289.73,1.23877,0.58031,0.98933,0.98356,0.98995,0.98967,0.65063,1.12152,0.46315,0.90223,0.0070894,0.0070894,0.0070894
149,3346.49,1.24348,0.57916,0.99132,0.98349,0.98995,0.98963,0.65197,1.12085,0.46224,0.90194,0.0070696,0.0070696,0.0070696
150,3404.9,1.23674,0.57989,0.98805,0.98349,0.98993,0.98966,0.65213,1.12007,0.4623,0.9016,0.0070498,0.0070498,0.0070498
151,3462.72,1.24313,0.58099,0.99304,0.98348,0.98996,0.9896,0.65267,1.11926,0.46107,0.90152,0.00703,0.00703,0.00703
152,3519.53,1.225,0.56896,0.98294,0.98342,0.98997,0.98956,0.65203,1.11869,0.46143,0.90131,0.0070102,0.0070102,0.0070102
153,3579.94,1.22322,0.57158,0.98793,0.98342,0.98996,0.9896,0.65197,1.11812,0.46096,0.90113,0.0069904,0.0069904,0.0069904
154,3637.21,1.22424,0.56737,0.98217,0.98337,0.98995,0.98968,0.6527,1.11684,0.46096,0.90096,0.0069706,0.0069706,0.0069706
155,3693.88,1.21148,0.55973,0.98225,0.98338,0.98998,0.98962,0.65315,1.11607,0.46084,0.90075,0.0069508,0.0069508,0.0069508
156,3751.5,1.21503,0.56705,0.98203,0.98336,0.99003,0.98966,0.65432,1.11552,0.45958,0.90049,0.006931,0.006931,0.006931
157,3811.89,1.21517,0.56762,0.98383,0.98337,0.99007,0.98959,0.65493,1.11435,0.4606,0.90016,0.0069112,0.0069112,0.0069112
158,3869.73,1.2059,0.56409,0.98094,0.98343,0.99011,0.98983,0.6551,1.11368,0.45887,0.9001,0.0068914,0.0068914,0.0068914
